"sw_identity","spelling","article","ver_string","dev_string","cit_string","url_string","ext_string","rel_string","lic_string","abb_string","alt_string"
"https://www.wikidata.org/wiki/Q169478","Matlab","http://data.gesis.org/somesci/PMC2695008",,"Mathworks, Inc.",,,,"14",,,
"https://www.wikidata.org/wiki/Q11255","Office","http://data.gesis.org/somesci/PMC3411727",,"Microsoft",,,,"2007",,,
"https://www.wikidata.org/wiki/Q169478","MATLAB","http://data.gesis.org/somesci/PMC3896435",,"The MATHWORKS Inc.",,,,"R2010a",,,
"https://www.wikidata.org/wiki/Q169478","MATLAB","http://data.gesis.org/somesci/PMC4008581",,"MathWorks",,,,"R2009b",,,
"https://www.wikidata.org/wiki/Q2003932","SAS","http://data.gesis.org/somesci/PMC2656621",,,,,,"2001",,,
"https://www.wikidata.org/wiki/Q169478","Matlab","http://data.gesis.org/somesci/PMC3001859",,,,,,"2009b",,,
"https://sites.google.com/site/bctnet","Brain Connectivity Toolbox","http://data.gesis.org/somesci/PMC3591454",,,"[17]","www.brain-connectivity-toolbox.net",,,,,
"https://sites.google.com/site/bctnet","Brain Connectivity Toolbox","http://data.gesis.org/somesci/PMC4079667",,,"[49]","http://www.brain-connectivity-toolbox.net/",,,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC1831734","8","StataCorp",,"http://www.stata.com",,,,,
"https://www.wikidata.org/wiki/Q41566485","SPM","http://data.gesis.org/somesci/PMC2695008","5","Wellcome Department of Cognitive Neurology",,"www.fil.ion.ucl.ac.uk/spm",,,,,
"https://www.wikidata.org/wiki/Q41566485","SPM","http://data.gesis.org/somesci/PMC3954845","8","Wellcome Department of Imaging Neuroscience",,"www.fil.ion.ucl.ac.uk/spm",,,,,
"https://www.wikidata.org/wiki/Q11239942","Primer","http://data.gesis.org/somesci/PMC2644762","3",,,"http://frodo.wi.mit.edu/",,,,,
"https://www.wikidata.org/wiki/Q41566485","SPM","http://data.gesis.org/somesci/PMC3420898","8",,,"http://www.fil.ion.ucl.ac.uk/spm",,,,,
"https://www.fluxus-engineering.com/sharenet.htm","Network","http://data.gesis.org/somesci/PMC3494716","4.610",,,"www.fluxus-engineering.com",,,,,
"https://www.fluxus-engineering.com/sharenet.htm","Network","http://data.gesis.org/somesci/PMC3566204","4.5",,,"www.fluxus-engineering.com/sharenet.htm",,,,,
"https://www.wikidata.org/wiki/Q3737246","FSL","http://data.gesis.org/somesci/PMC4072059","4.1.4",,,"www.fmrib.ox.ac.uk/fsl",,,,,
"http://lpg.nci.nih.gov","SNPdetector","http://data.gesis.org/somesci/PMC1274293",,,,"http://lpg.nci.nih.gov",,,,,
"http://www2.umdnj.edu/lilabweb/publications/AccuTyping.html","AccuTyping","http://data.gesis.org/somesci/PMC1635267",,,,"http://www2.umdnj.edu/lilabweb/publications/AccuTyping.html",,,,,
"http://bio.informatics.iupui.edu/proteolens","ProteoLens","http://data.gesis.org/somesci/PMC2537576",,,,"http://bio.informatics.iupui.edu/proteolens/",,,,,
"http://strep-microarray.sbs.surrey.ac.uk/RankProducts","RankProdIt","http://data.gesis.org/somesci/PMC2930644",,,,"http://strep-microarray.sbs.surrey.ac.uk/RankProducts",,,,,
"http://strep-microarray.sbs.surrey.ac.uk/RankProducts","RankProdIt","http://data.gesis.org/somesci/PMC2930644",,,,"http://strep-microarray.sbs.surrey.ac.uk/RankProducts/",,,,,
"http://fcsb.njau.edu.cn/microsyn","MicroSyn","http://data.gesis.org/somesci/PMC3072343",,,,"http://fcsb.njau.edu.cn/microsyn/",,,,,
"http://www.bionut.ki.se/users/pesv/podbat","Podbat","http://data.gesis.org/somesci/PMC3161910",,,,"www.podbat.org",,,,,
"http://www.inxightfedsys.com/pdfs/LinguistX_FinalWeb.pdf","Inxight","http://data.gesis.org/somesci/PMC3173492",,,,"http://www.inxightfedsys.com/pdfs/LinguistX_FinalWeb.pdf",,,,,
"http://eutils.ncbi.nlm.nih.gov","Entrez Utilities Entrez Programming Utilities","http://data.gesis.org/somesci/PMC3173492",,,,"http://eutils.ncbi.nlm.nih.gov/",,,,,
"https://www.wikidata.org/wiki/Q6719088","Muscle","http://data.gesis.org/somesci/PMC3712955",,,,"www.ebi.ac.uk/Tools/msa/muscle/",,,,,
"https://www.wikidata.org/wiki/Q866737","ClustalW","http://data.gesis.org/somesci/PMC3712955",,,,"http://www.ebi.ac.uk/clustalw",,,,,
"http://sailing.cs.cmu.edu/Drosophila_ISH_images","GINI","http://data.gesis.org/somesci/PMC3794902",,,,"http://sailing.cs.cmu.edu/Drosophila_ISH_images/",,,,,
"http://www.cellxpress.org","cellXpress","http://data.gesis.org/somesci/PMC3853218",,,,"http://www.cellXpress.org",,,,,
"http://clovr.org","CloVR","http://data.gesis.org/somesci/PMC3869194",,,,"http://clovr.org",,,,,
"http://www.cgbayesnets.com","CGBayesNets","http://data.gesis.org/somesci/PMC4055564",,,,"http://www.cgbayesnets.com",,,,,
"http://www.accelrys.com/dstudio/ds_viewer","DS ViewerPro","http://data.gesis.org/somesci/PMC2134966","6.0",,"[42]",,,,,,
"https://www.chem.gla.ac.uk/~louis/software/ortep","ORTEP","http://data.gesis.org/somesci/PMC3120364","3",,"Farrugia, 1997",,,,,,
"https://www.fluxus-engineering.com/sharenet.htm","Network","http://data.gesis.org/somesci/PMC3283723","4.5.1.0",,"[91]",,,,,,
"https://www.wildblueberrymedia.net/pcord","PCORD","http://data.gesis.org/somesci/PMC3338667","4.25",,"[19]",,,,,,
"https://www.wikidata.org/wiki/Q7118292","PAUP","http://data.gesis.org/somesci/PMC3485250","4.0b10",,"[41]",,,,,,
"https://beast.community","BEAST","http://data.gesis.org/somesci/PMC3485250","1.6.1",,"[46]",,,,,,
"http://tree.bio.ed.ac.uk/software/tracer","TRACER","http://data.gesis.org/somesci/PMC3485250","1.5",,"[54]",,,,,,
"https://www.wikidata.org/wiki/Q47519550","GENELAND","http://data.gesis.org/somesci/PMC3485250","3.3.0",,"[60]",,,,,,
"https://www.wikidata.org/wiki/Q6715328","MEGA","http://data.gesis.org/somesci/PMC3509097","5",,"[4]",,,,,,
"https://www.wikidata.org/wiki/Q3737246","FSL","http://data.gesis.org/somesci/PMC3515589","4.1",,"[26]",,,,,,
"https://www.wikidata.org/wiki/Q3737246","FSL","http://data.gesis.org/somesci/PMC3515589","4.1",,"[25]",,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3541387","19",,"[37]",,,,,,
"http://infecepi.unizar.es/pages/ratio/soft_uk.htm","WinEpiscope","http://data.gesis.org/somesci/PMC3549981","2.0",,"[39]",,,,,,
"https://www.wikidata.org/wiki/Q6715328","MEGA","http://data.gesis.org/somesci/PMC3566204","4.1",,"[41]",,,,,,
"https://www.wikidata.org/wiki/Q6715328","MEGA","http://data.gesis.org/somesci/PMC3566204","4.1",,"[41]",,,,,,
"http://tree.bio.ed.ac.uk/software/tracer","Tracer","http://data.gesis.org/somesci/PMC3566204","1.4.1",,"[59]",,,,,,
"https://beast.community/logcombiner","LogCombiner","http://data.gesis.org/somesci/PMC3566204","1.5.2",,"[54]",,,,,,
"https://www.beast2.org/treeannotator","TreeAnnotator","http://data.gesis.org/somesci/PMC3566204","1.5.2",,"[54]",,,,,,
"https://kimura.univ-montp2.fr/%7Erousset/Genepop.htm","GenePop","http://data.gesis.org/somesci/PMC3566204","4.0",,"[62]",,,,,,
"https://www.wikidata.org/wiki/Q5427149","Fstat","http://data.gesis.org/somesci/PMC3566204","2.9.3.2",,"[63]",,,,,,
"https://www.wikidata.org/wiki/Q2003932","SAS","http://data.gesis.org/somesci/PMC3660607","9.2",,"[30]",,,,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC3762848","10.0",,"[52]",,,,,,
"http://www.purl.oclc.org/estimates","EstimateS","http://data.gesis.org/somesci/PMC3944928","8.2.0",,"[11]",,,,,,
"https://www.wikidata.org/wiki/Q6716702","MLwiN","http://data.gesis.org/somesci/PMC4055700","2.27",,"[37]",,,,,,
"https://dceg.cancer.gov/tools/design/pga","PGA","http://data.gesis.org/somesci/PMC4125212","2.0",,"[45]",,,,,,
"http://www.binarybottle.com/mindboggle.html","Mindboggle","http://data.gesis.org/somesci/PMC1283974",,,"[63,85]",,,,,,
"http://homepages.ed.ac.uk/pmckeigu/software/admixmap","ADMIXMAP","http://data.gesis.org/somesci/PMC2731885",,,"[72]",,,,,,
"https://cran.r-project.org/package=Amelia","AmeliaView","http://data.gesis.org/somesci/PMC2953514",,,"[44]",,,,,,
"https://doi.org/10.1093/bioinformatics/btp497","GRIMP","http://data.gesis.org/somesci/PMC2987837",,,"[20]",,,,,,
"https://www.platonsoft.nl/platon","PLATON","http://data.gesis.org/somesci/PMC3120364",,,"Spek, 2009",,,,,,
"https://cran.r-project.org/package=glmnet","glmnet","http://data.gesis.org/somesci/PMC3289918",,,"Friedman et al., 2010",,,,,,
"https://www.wikidata.org/wiki/Q378530","Praat","http://data.gesis.org/somesci/PMC3293852",,,"[39]",,,,,,
"https://ideas.repec.org/c/boc/bocode/s446201.html","metareg","http://data.gesis.org/somesci/PMC3310436",,,"[44]",,,,,,
"http://pyrotagger.jgi-psf.org","PyroTagger","http://data.gesis.org/somesci/PMC3338667",,,"[13]",,,,,,
"http://www.ub.edu/dnasp","DNAsp","http://data.gesis.org/somesci/PMC3338667",,,"[29]",,,,,,
"https://www.broadinstitute.org/birdsuite","Birdseye","http://data.gesis.org/somesci/PMC3459919",,,"[21]",,,,,,
"https://code.google.com/archive/p/lagrange","LAGRANGE","http://data.gesis.org/somesci/PMC3485250",,,"[64]",,,,,,
"https://www.wikidata.org/wiki/Q3737246","FSL","http://data.gesis.org/somesci/PMC3515589",,,"[39]",,,,,,
"https://www.wikidata.org/wiki/Q3737246","FSL","http://data.gesis.org/somesci/PMC3515589",,,"[39]",,,,,,
"CIMSIM_01","CIMSiM","http://data.gesis.org/somesci/PMC3528761",,,"[49]",,,,,,
"https://www.wikidata.org/wiki/Q286820","BLAST","http://data.gesis.org/somesci/PMC3566204",,,"[40]",,,,,,
"http://doi.org/10.1186/gb-2006-7-4-r29","genemapper","http://data.gesis.org/somesci/PMC3566204",,,"[42]",,,,,,
"http://hpc.ilri.cgiar.org/beca/bioinfo/convert.html","convert","http://data.gesis.org/somesci/PMC3566204",,,"[61]",,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3661540",,,"[42]",,,,,,
"https://github.com/sccn/eeglab","EEGLAB","http://data.gesis.org/somesci/PMC3835884",,,"[31]",,,,,,
"https://www.wikidata.org/wiki/Q206904","R","http://data.gesis.org/somesci/PMC3885438",,,"[20]",,,,,,
"https://neurometrika.org/node/34","Diffeomorphic Anatomical Registration Through Exponentiated Lie Algebra","http://data.gesis.org/somesci/PMC3925163",,,"[26]",,,,,,
"https://www.wikidata.org/wiki/Q206904","R","http://data.gesis.org/somesci/PMC3968891",,,"[9]",,,,,,
"https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FLIRT","FLIRT","http://data.gesis.org/somesci/PMC4072059",,,"Jenkinson and Smith 2001",,,,,,
"https://cran.r-project.org/package=mclust","adjustedRandIndex","http://data.gesis.org/somesci/PMC4079667",,,"[58]",,,,,,
"https://cran.r-project.org/package=mclust","adjustedRandIndex","http://data.gesis.org/somesci/PMC4079667",,,"[59]",,,,,,
"https://cran.r-project.org/package=lme4","lmer","http://data.gesis.org/somesci/PMC4079667",,,"[60]",,,,,,
"https://www.wikidata.org/wiki/Q206904","R","http://data.gesis.org/somesci/PMC4091876",,,"[34]",,,,,,
"https://www.wikidata.org/wiki/Q378530","Praat","http://data.gesis.org/somesci/PMC4103818",,,"[44]",,,,,,
"https://www.wikidata.org/wiki/Q1406","Window","http://data.gesis.org/somesci/PMC1388242","2000","Microsoft",,,,,,,
"https://www.wikidata.org/wiki/Q1406","Window","http://data.gesis.org/somesci/PMC1388242","XP","Microsoft",,,,,,,
"https://www.wikidata.org/wiki/Q2378","Visual Basic","http://data.gesis.org/somesci/PMC1388242","6","Microsoft",,,,,,,
"https://www.wikidata.org/wiki/Q5281973","DS modeling","http://data.gesis.org/somesci/PMC1657052","1.1","Accelrys",,,,,,,
"https://moleculardevices.com/products/axon-patch-clamp-system/acquisition-and-analysis-software/pclamp-software-suite","pCLAMP","http://data.gesis.org/somesci/PMC1657052","9","Axon Instruments",,,,,,,
"https://www.wikidata.org/wiki/Q2003932","SAS","http://data.gesis.org/somesci/PMC2002515","9.1.3.","SAS Institute Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC2265305","9.2","Stata Corporation",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC2518622","3.0","GraphPad",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC2518622","3.0","GraphPad Software, Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC2582449","14.1","SPSS Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","Statistical Package for Social Sciences","http://data.gesis.org/somesci/PMC2721656","15.0","SPSS inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC2721656","5","GraphPad",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC2721656","5","GraphPad Software inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1161680","JMP","http://data.gesis.org/somesci/PMC2730576","5.1","SAS Institute",,,,,,,
"https://www.wikidata.org/wiki/Q7512231","SigmaStat","http://data.gesis.org/somesci/PMC2790482","3.1","Systat Software Inc.",,,,,,,
"https://www.bio-rad.com/en-de/sku/1709753-iq5-optical-system-software","iQ5 Optical system","http://data.gesis.org/somesci/PMC2952602","2.0","Bio-Rad",,,,,,,
"https://www.wikidata.org/wiki/Q41566485","SPM","http://data.gesis.org/somesci/PMC3002948","5","Wellcome Department of Cognitive Neurology",,,,,,,
"https://www.wikidata.org/wiki/Q1161680","JMP","http://data.gesis.org/somesci/PMC3004789","7.0","SAS Institute Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q4049465","Sigma plot","http://data.gesis.org/somesci/PMC3022014","8.02.","Systat Software Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q169478","MATLAB","http://data.gesis.org/somesci/PMC3055867","7","MathWorks",,,,,,,
"https://www.wikidata.org/wiki/Q41566485","SPM","http://data.gesis.org/somesci/PMC3055867","5","Wellcome Department",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC3077394","5.0","GraphPad",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC3077394","5.0","GraphPad Software Inc",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3154278","17.0","SPSS Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC3202564","4","GraphPad",,,,,,,
"https://www.wikidata.org/wiki/Q2601695","Epi Info","http://data.gesis.org/somesci/PMC3257264","6.04","CDC",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3281090","18","SPSS inc",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3296763","14.0J","SPSS Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3325283","19.0.0","IBM",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3368909","15.0","SPSS, Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC3368909","10","StataCorp LP",,,,,,,
"https://www.wikidata.org/wiki/Q1161680","JMP","http://data.gesis.org/somesci/PMC3371048","8.0","SAS Institute Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3402400","15","SPSS Inc",,,,,,,
"https://www.wikidata.org/wiki/Q2601695","Epi Info","http://data.gesis.org/somesci/PMC3402403","3.5.1","CDC",,,,,,,
"https://www.med-associates.com/med-pc-v/","Med-PC","http://data.gesis.org/somesci/PMC3411727","IV","MedAssociates, Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC3411727","5","GraphPad Software Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3411727","17.0","IBM",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3411727","19","IBM",,,,,,,
"DIGIPRO_01","Digipro","http://data.gesis.org/somesci/PMC3432100","140","AccuScan Instruments",,,,,,,
"https://www.wikidata.org/wiki/Q181596","PASW Statistics","http://data.gesis.org/somesci/PMC3446940","18","SPSS Inc.",,,,,,,
"https://www.labtools.us/sequence-scanner","Sequence Scanner","http://data.gesis.org/somesci/PMC3494716","1.0","Applied BioSystems",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3494716","17.0","SPSS Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3530595","18.0","SPSS Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1788435","STATISTICA","http://data.gesis.org/somesci/PMC3532431","10.0","StatSoft",,,,,,,
"http://www.gqinnovationcenter.com/services/bioinformatics/flexarray","FlexArray","http://data.gesis.org/somesci/PMC3568080","1.6","Genome Quebec",,,,,,,
"https://www.mediacy.com/imageproplus","ImagePro+","http://data.gesis.org/somesci/PMC3568080","5.0.1","Media Cybernetics",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3629137","19.0","SPSS Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3634734","11.5","SPSS",,,,,,,
"https://www.agilent.com/en/product/software-informatics/mass-spectrometry-software/data-analysis/qualitative-analysis","MassHunter Qualitative Analysis","http://data.gesis.org/somesci/PMC3664640","5.0","Agilent",,,,,,,
"https://www.agilent.com/en/product/software-informatics/mass-spectrometry-software/data-analysis/mass-profiler-professional-software","Mass Profiler Professional","http://data.gesis.org/somesci/PMC3664640","12.1","Agilent",,,,,,,
"https://www.agilent.com/en/product/software-informatics/mass-spectrometry-software/data-analysis/mass-profiler-professional-software","Mass Profiler Professional","http://data.gesis.org/somesci/PMC3664640","12.1","Agilent Technologies",,,,,,,
"https://www.wikidata.org/wiki/Q181596","Statistical Package for Social Science","http://data.gesis.org/somesci/PMC3688591","19.0","SPSS",,,,,,,
"https://www.wikidata.org/wiki/Q513297","ArcGIS","http://data.gesis.org/somesci/PMC3699512","10.0","Environmental Systems Research Institute",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3700867","19.0.1","IBM",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC3700867","5.0d","GraphPad",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC3723741","11.2","StataCorp",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3724832","19.0","IBM",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3792883","18","IBM Corp.",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","STATA","http://data.gesis.org/somesci/PMC3805582","11","StataCorp LP",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3866176","19","IBM",,,,,,,
"https://www.wikidata.org/wiki/Q181596","PASW Statistics","http://data.gesis.org/somesci/PMC3896435","18","IBM Corporation",,,,,,,
"https://www.neurobs.com/menu_presentation/menu_features/features_overview","Presentation","http://data.gesis.org/somesci/PMC3896435","16","Neurobehavioral Systems Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS","http://data.gesis.org/somesci/PMC3919787","15.0","SPSS Ltd.",,,,,,,
"https://www.wikidata.org/wiki/Q41566485","SPM","http://data.gesis.org/somesci/PMC3948886","8","Welcome Trust Centre for Neuroimaging",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","STATA","http://data.gesis.org/somesci/PMC3958518","11.2","STATA Corp",,,,,,,
"http://www.actigraphy.respironics.com/solutions/actiware","Actiware","http://data.gesis.org/somesci/PMC3968121","5.59.0015","Respironics",,,,,,,
"https://www.wikidata.org/wiki/Q2003932","SAS","http://data.gesis.org/somesci/PMC3968121","9.3","SAS Institute Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q181596","SPSS Statistics","http://data.gesis.org/somesci/PMC3974736","20.0","IBM Corp",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","STATA","http://data.gesis.org/somesci/PMC3983092","11.0","Statacorp",,,,,,,
"https://www.wikidata.org/wiki/Q1355082","Prism","http://data.gesis.org/somesci/PMC3989186","5.02","GraphPad",,,,,,,
"https://www.wikidata.org/wiki/Q1204300","Stata","http://data.gesis.org/somesci/PMC4006795","12.1","StataCorp",,,,,,,
"https://www.wikidata.org/wiki/Q1406","Windows","http://data.gesis.org/somesci/PMC4015449","7","Microsoft",,,,,,,
"https://www.wikidata.org/wiki/Q2003932","SAS","http://data.gesis.org/somesci/PMC4020748","9.3","SAS Institute Inc.",,,,,,,
"https://www.wikidata.org/wiki/Q1161680","JMP","http://data.gesis.org/somesci/PMC4100871","9.0","SAS, Inc",,,,,,,
